Client ID,FL Round,Training Time,Communication Time,Total Client Time,CPU Usage (%),Task,Train Loss,Train Accuracy,Train F1,Val Loss,Val Accuracy,Val F1,Total Time of Training Round,Total Time of FL Round
Client 4 - A,4,338,155.69,493.69,32,taskA,,,,,,,,493.0
Client 5 - A,4,348,144.89,492.89,61,taskA,,,,,,,,493.0
Client 6 - A,4,242,251.3,493.3,44,taskA,1421.0,0.32,0.21,711.0,0.25,0.19,354.0,493.0
Client 7 - A,4,354,139.68,493.68,30,taskA,,,,,,,,493.0
Client 8 - A,4,164,329.1,493.1,50,taskA,,,,,,,,493.0
Client 1 - A,5,96,358.23,454.23,54,taskA,,,,,,,,454.0
Client 2 - A,5,80,374.04,454.04,56,taskA,1403.0,0.32,0.21,703.0,0.24,0.19,323.0,454.0
Client 3 - A,5,258,196.38,454.38,41,taskA,,,,,,,,454.0
Client 4 - A,5,315,139.08,454.08000000000004,32,taskA,,,,,,,,454.0
Client 5 - A,5,323,131.38,454.38,30,taskA,,,,,,,,454.0
Client 6 - A,5,221,233.49,454.49,44,taskA,,,,,,,,454.0
Client 7 - A,5,321,133.06,454.06,51,taskA,,,,,,,,454.0
Client 8 - A,5,147,307.69,454.69,50,taskA,,,,,,,,454.0
Client 1 - A,6,97,371.3,468.3,55,taskA,,,,,,,,468.0
Client 2 - A,6,77,391.11,468.11,57,taskA,,,,,,,,468.0
Client 3 - A,6,308,160.47,468.47,42,taskA,1347.0,0.35,0.25,680.0,0.27,0.22,352.0,468.0
Client 4 - A,6,347,121.66,468.65999999999997,32,taskA,,,,,,,,468.0
Client 5 - A,6,352,116.55,468.55,60,taskA,,,,,,,,468.0
Client 6 - A,6,259,209.76,468.76,45,taskA,,,,,,,,468.0
Client 7 - A,6,351,117.95,468.95,31,taskA,,,,,,,,468.0
Client 8 - A,6,216,252.87,468.87,50,taskA,,,,,,,,468.0
Client 1 - A,7,97,326.06,423.06,57,taskA,,,,,,,,423.0
Client 2 - A,7,82,340.99,422.99,59,taskA,,,,,,,,423.0
Client 3 - A,7,226,196.62,422.62,42,taskA,,,,,,,,423.0
Client 4 - A,7,290,133.31,423.31,35,taskA,,,,,,,,423.0
Client 5 - A,7,301,121.81,422.81,45,taskA,1395.0,0.32,0.21,699.0,0.25,0.19,307.0,423.0
Client 6 - A,7,181,241.73,422.73,47,taskA,,,,,,,,423.0
Client 7 - A,7,307,116.5,423.5,29,taskA,,,,,,,,423.0
Client 8 - A,7,112,311.03,423.03,54,taskA,,,,,,,,423.0
Client 1 - A,8,99,383.08,482.08,53,taskA,1378.0,0.34,0.23,688.0,0.26,0.2,369.0,482.0
Client 2 - A,8,79,403.09,482.09,56,taskA,,,,,,,,482.0
Client 3 - A,8,332,150.54,482.53999999999996,42,taskA,,,,,,,,482.0
Client 4 - A,8,363,119.22,482.22,36,taskA,,,,,,,,482.0
Client 5 - A,8,369,113.32,482.32,56,taskA,,,,,,,,482.0
Client 6 - A,8,269,212.94,481.94,45,taskA,,,,,,,,482.0
Client 7 - A,8,365,117.22,482.22,32,taskA,,,,,,,,482.0
Client 8 - A,8,225,256.85,481.85,50,taskA,,,,,,,,482.0
Client 1 - A,9,125,333.2,458.2,58,taskA,,,,,,,,458.0
Client 2 - A,9,140,318.5,458.5,59,taskA,,,,,,,,458.0
Client 3 - A,9,285,173.46,458.46000000000004,43,taskA,,,,,,,,458.0
Client 4 - A,9,341,117.35,458.35,32,taskA,,,,,,,,458.0
Client 5 - A,9,344,114.55,458.55,60,taskA,1355.0,0.34,0.23,682.0,0.26,0.21,346.0,458.0
Client 6 - A,9,248,209.77,457.77,48,taskA,,,,,,,,458.0
Client 7 - A,9,346,112.24,458.24,35,taskA,,,,,,,,458.0
Client 8 - A,9,188,270.36,458.36,53,taskA,,,,,,,,458.0
Client 1 - A,10,98,303.78,401.78,54,taskA,,,,,,,,401.0
Client 2 - A,10,78,323.79,401.79,56,taskA,,,,,,,,401.0
Client 3 - A,10,184,216.85,400.85,43,taskA,,,,,,,,401.0
Client 4 - A,10,265,135.94,400.94,30,taskA,,,,,,,,401.0
Client 5 - A,10,274,127.43,401.43,34,taskA,,,,,,,,401.0
Client 6 - A,10,164,237.16,401.15999999999997,46,taskA,1345.0,0.35,0.24,686.0,0.27,0.22,275.0,401.0
Client 7 - A,10,275,126.33,401.33,51,taskA,,,,,,,,401.0
Client 8 - A,10,91,310.25,401.25,54,taskA,,,,,,,,401.0
